delivery_type,phone_name,phone_price,seller_customer_rating,seller_followers,seller_name,seller_quality_score,seller_score,seller_shipping_speed,units_left,verified_ratings
Jumia Nigeria,IPhone 11 Pro Max,760000,Good,315 ,Don Chris Links,Excellent,86,Good,7 units left,0
Jumia Global,iPhone 12 ,668000,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Global,iPhone X,337887,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Global,iPhone 11 ,554613,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Global,iPhone X,376283,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Express,IPhone 13Pro,969000,Average,214 ,UNAGI-COD,Very Poor,54,Excellent,1 units left,0
Jumia Nigeria,IPhone 12 Pro Max,895000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Global,iPhone 11 ,428502,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1200000,Good,315 ,Don Chris Links,Excellent,86,Good,8 units left,2
Jumia Global,iPhone 7,191128,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,880000,Good,315 ,Don Chris Links,Excellent,86,Good,7 units left,0
Jumia Global,iPhone X,476114,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 15 ,1999999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,4 units left,0
Jumia Nigeria,iPhone 14 ,1299999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 15 Pro Max,1800000,Excellent,8 ,Arinjam Apples and Accessories,Excellent,86,Average,1 units left,0
Jumia Nigeria,IPhone 15 Pro Max,2399999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,4 units left,0
Jumia Nigeria,IPhone 14 Pro Max,1550000,,159 ,Cryztal Accessories,Excellent,100,Excellent,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1200000,Good,315 ,Don Chris Links,Excellent,86,Good,8 units left,0
Jumia Nigeria,Iphone X,420000,Poor,356 ,HIGH CLASS SOTRE,Excellent,66,Average,4 units left,0
Jumia Nigeria,IPhone 13 Pro,980000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Nigeria,IPhone 13 ,790000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,0
Jumia Nigeria,IPhone 13 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,4
Jumia Nigeria,IPhone 12 Pro Max,960000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 14 Pro,1350000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 14 Pro Max,1550000,,601 ,BEST CLASS STORES,Excellent,90,Good,7 units left,0
Jumia Global,iPhone 7 ,230378,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 13 Pro,980000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 11 Pro Max,755000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,3
Jumia Nigeria,IPhone 16 Pro Max,2650999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 12 Pro Max,920000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,2
Jumia Nigeria,IPhone 13 ,790000,,601 ,BEST CLASS STORES,Excellent,90,Good,6 units left,1
Jumia Nigeria,IPhone 14 Pro Max,1480000,,159 ,Cryztal Accessories,Excellent,100,Excellent,8 units left,0
Jumia Global,iPhone 6 ,63969 - 91509,,7 ,sellcome01,Excellent,90,Good,In stock,2
Jumia Nigeria,IPhone 13 Pro Max,1230000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
